IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
188.114.97.250,4,4,0.00,194.90,0.00
188.114.96.140,4,4,0.00,199.05,0.00
190.93.245.47,4,3,0.25,150.56,0.00
108.162.198.182,4,3,0.25,151.53,0.00
190.93.246.131,4,3,0.25,190.67,0.00
141.101.115.151,4,2,0.50,194.94,0.00
190.93.247.195,4,2,0.50,198.02,0.00
190.93.244.119,4,2,0.50,205.81,0.00
173.245.59.10,4,2,0.50,243.48,0.00
141.101.113.244,4,2,0.50,243.88,0.00
173.245.58.239,4,2,0.50,246.28,0.00
108.162.196.161,4,2,0.50,249.95,0.00
141.101.114.133,4,1,0.75,42.51,0.00
141.101.90.124,4,1,0.75,241.12,0.00
188.114.98.141,4,1,0.75,241.21,0.00
173.245.49.191,4,1,0.75,244.65,0.00
141.101.120.159,4,1,0.75,245.35,0.00
103.21.244.185,4,1,0.75,248.24,0.00
141.101.123.96,4,1,0.75,249.64,0.00
141.101.121.200,4,1,0.75,254.88,0.00
